device = cuda
=== DeepLDA with D=150 ===
[01] train loss=7.0454 acc=0.0861 | test acc=0.1400
[02] train loss=-5.9806 acc=0.1874 | test acc=0.1881
[03] train loss=-18.5448 acc=0.2640 | test acc=0.2657
[04] train loss=-30.7341 acc=0.3261 | test acc=0.3250
[05] train loss=-42.4877 acc=0.3821 | test acc=0.3157
[06] train loss=-53.6433 acc=0.4294 | test acc=0.3683
[07] train loss=-64.1757 acc=0.4725 | test acc=0.4201
[08] train loss=-74.0194 acc=0.5063 | test acc=0.4595
[09] train loss=-83.0028 acc=0.5318 | test acc=0.4750
[10] train loss=-91.2585 acc=0.5582 | test acc=0.5176
[11] train loss=-98.5482 acc=0.5785 | test acc=0.4865
[12] train loss=-105.0987 acc=0.5962 | test acc=0.5415
[13] train loss=-110.6659 acc=0.6147 | test acc=0.5453
[14] train loss=-115.3928 acc=0.6298 | test acc=0.5634
[15] train loss=-119.3477 acc=0.6431 | test acc=0.5550
[16] train loss=-122.8825 acc=0.6576 | test acc=0.5868
[17] train loss=-125.6194 acc=0.6699 | test acc=0.5915
[18] train loss=-128.0489 acc=0.6817 | test acc=0.5933
[19] train loss=-130.1924 acc=0.6932 | test acc=0.6039
[20] train loss=-132.4242 acc=0.7052 | test acc=0.5999
[21] train loss=-134.0507 acc=0.7135 | test acc=0.6238
[22] train loss=-135.7458 acc=0.7208 | test acc=0.6203
[23] train loss=-137.3029 acc=0.7304 | test acc=0.6109
[24] train loss=-138.7516 acc=0.7373 | test acc=0.6203
[25] train loss=-140.1207 acc=0.7427 | test acc=0.6333
[26] train loss=-141.4396 acc=0.7527 | test acc=0.6332
[27] train loss=-142.4610 acc=0.7568 | test acc=0.6330
[28] train loss=-144.0627 acc=0.7633 | test acc=0.6382
[29] train loss=-144.7732 acc=0.7671 | test acc=0.6373
[30] train loss=-146.2065 acc=0.7752 | test acc=0.6355
[31] train loss=-147.1578 acc=0.7777 | test acc=0.6340
[32] train loss=-148.0610 acc=0.7840 | test acc=0.6406
[33] train loss=-149.2528 acc=0.7861 | test acc=0.6404
[34] train loss=-149.9744 acc=0.7907 | test acc=0.6480
[35] train loss=-150.9426 acc=0.7939 | test acc=0.6442
[36] train loss=-151.8316 acc=0.7973 | test acc=0.6397
[37] train loss=-152.8522 acc=0.8044 | test acc=0.6408
[38] train loss=-153.5453 acc=0.8059 | test acc=0.6508
[39] train loss=-154.6261 acc=0.8105 | test acc=0.6455
[40] train loss=-155.0506 acc=0.8118 | test acc=0.6442
[41] train loss=-156.1025 acc=0.8160 | test acc=0.6471
[42] train loss=-156.9431 acc=0.8198 | test acc=0.6432
[43] train loss=-157.2650 acc=0.8207 | test acc=0.6457
[44] train loss=-158.2346 acc=0.8242 | test acc=0.6541
