device = cuda
=== DeepLDA with D=150 ===
[01] train loss=7.0454 acc=0.0863 | test acc=0.1389
[02] train loss=-5.9799 acc=0.1872 | test acc=0.1898
[03] train loss=-18.5456 acc=0.2646 | test acc=0.2634
[04] train loss=-30.7291 acc=0.3268 | test acc=0.3275
[05] train loss=-42.4770 acc=0.3819 | test acc=0.3125
[06] train loss=-53.6247 acc=0.4283 | test acc=0.3707
[07] train loss=-64.1498 acc=0.4703 | test acc=0.4123
[08] train loss=-73.9785 acc=0.5062 | test acc=0.4545
[09] train loss=-82.9346 acc=0.5301 | test acc=0.4798
[10] train loss=-91.1675 acc=0.5576 | test acc=0.5156
[11] train loss=-98.4728 acc=0.5788 | test acc=0.4866
[12] train loss=-105.0046 acc=0.5978 | test acc=0.5392
[13] train loss=-110.6301 acc=0.6156 | test acc=0.5442
[14] train loss=-115.2832 acc=0.6286 | test acc=0.5682
[15] train loss=-119.3654 acc=0.6466 | test acc=0.5520
[16] train loss=-122.9622 acc=0.6591 | test acc=0.5740
[17] train loss=-125.6286 acc=0.6698 | test acc=0.5951
[18] train loss=-127.9597 acc=0.6797 | test acc=0.5964
[19] train loss=-130.2362 acc=0.6932 | test acc=0.6063
[20] train loss=-132.3634 acc=0.7045 | test acc=0.6023
[21] train loss=-134.0974 acc=0.7138 | test acc=0.6145
[22] train loss=-135.7838 acc=0.7217 | test acc=0.6148
[23] train loss=-137.2219 acc=0.7277 | test acc=0.6200
[24] train loss=-138.7389 acc=0.7366 | test acc=0.6290
[25] train loss=-140.0669 acc=0.7444 | test acc=0.6275
[26] train loss=-141.5648 acc=0.7523 | test acc=0.6394
[27] train loss=-142.5406 acc=0.7569 | test acc=0.6361
[28] train loss=-144.0580 acc=0.7649 | test acc=0.6356
[29] train loss=-144.8815 acc=0.7663 | test acc=0.6363
[30] train loss=-146.0847 acc=0.7734 | test acc=0.6395
[31] train loss=-147.0219 acc=0.7770 | test acc=0.6337
[32] train loss=-148.2117 acc=0.7827 | test acc=0.6423
[33] train loss=-149.1702 acc=0.7870 | test acc=0.6388
[34] train loss=-150.1652 acc=0.7918 | test acc=0.6484
[35] train loss=-150.7563 acc=0.7935 | test acc=0.6412
